timestep,reward
161941,2.0985
162337,2.3365
162730,2.097
163075,2.01
163475,1.929
163863,1.89
164219,2.1145
164581,2.0145
164957,2.1565
165357,2.088
165717,2.0065
166071,2.109
166487,2.182
166885,2.058
167330,2.0105
167681,1.804
168086,2.064
168509,1.728
168890,2.2725
169308,2.0535
169731,2.071
170132,2.3535
170518,2.19
170939,1.921
171301,2.012
171726,2.08
172130,2.126
172484,2.1825
172897,2.0325
173266,2.172
173664,2.0325
174088,1.9085
174498,1.9635
174888,1.9165
175222,1.9495
175656,2.0215
176019,1.861
176450,2.0645
176829,2.1035
177203,2.2145
177610,2.3145
178045,2.084
178406,1.991
178830,2.171
179174,2.193
179531,2.0785
179903,2.192
180282,2.0225
180697,1.8145
181078,2.0645
181447,2.2095
181863,2.1085
182236,2.0875
182662,2.1055
183056,1.9925
183442,1.9305
183867,2.0945
184279,2.065
184697,1.9625
185105,2.124
185503,2.213
185922,2.1665
186270,2.1615
186716,2.1205
187095,2.1635
187472,2.2325
187891,2.2315
188237,2.053
188600,1.965
188989,2.252
189385,2.0575
189744,2.3235
190111,2.1765
190533,1.9965
190890,2.0195
191281,2.086
191661,1.9725
192054,2.0405
192448,2.186
192842,2.006
193214,2.128
193569,2.058
193974,2.3565
194366,2.249
194730,2.1275
195101,2.3125
195483,1.9045
195881,2.124
196279,2.1915
196635,2.134
197037,2.3795
197419,2.1565
197818,2.1415
198224,2.0195
198643,2.083
199076,2.175
199447,2.041
199837,2.028
200226,2.3315
200564,1.9855
200979,2.288
201341,2.048
201764,2.247
202161,2.235
202581,2.307
202959,2.203
203310,2.141
203671,2.327
204047,2.0835
204475,2.0135
204882,2.1875
205295,2.093
205726,2.149
206150,2.178
206513,2.3205
206941,2.24
207281,2.128
207656,2.287
208066,2.0835
208471,2.3275
208894,2.034
209306,2.066
209723,2.303
210087,2.3515
210476,2.31
210875,2.2435
211251,2.108
211633,2.2245
212026,2.0295
212341,2.147
212739,2.038
213186,2.263
213573,2.249
214039,2.1315
214429,2.144
214782,2.5305
215205,2.28
215629,1.9615
216039,2.2895
216488,2.1825
216849,2.2325
217268,2.2395
217710,2.223
218121,2.221
218468,2.173
218911,2.269
219354,2.2455
219718,2.057
220169,2.08
220557,2.128
220922,2.0215
221302,2.0105
221690,2.13
222062,2.274
222497,2.3115
222903,2.4085
223306,2.3835
223733,2.2855
224143,2.074
224508,2.261
224931,2.1235
225345,2.0025
225747,2.2345
226117,1.8355
226528,2.175
226957,2.0665
227345,2.1285
227760,2.057
228105,2.0
228545,1.8265
229005,2.428
229380,2.336
229737,2.3405
230086,2.0745
230451,2.3925
230836,2.2275
231273,2.2705
231661,2.1565
232059,2.122
232442,2.4075
232817,2.2715
233186,2.347
233643,2.181
233972,2.082
234357,2.1425
234743,2.3145
235133,2.1605
235530,2.0875
235909,2.092
236271,2.1035
236653,2.1315
237045,2.098
237468,2.3165
237843,2.141
238216,2.2595
238556,2.166
238935,2.2315
239351,1.985
239727,2.047
240099,2.222
240501,2.209
240944,2.355
241382,2.2905
241757,2.136
242171,2.049
242526,2.1225
242928,2.298
243313,2.0425
243699,2.1085
244139,2.2065
244499,2.234
244894,2.1695
245334,2.14
245687,2.038
246013,2.157
246375,2.272
246789,2.091
247157,2.145
247528,2.2245
247937,2.171
248305,2.1635
248765,2.142
249183,2.2645
249566,2.2815
249941,2.2495
250302,2.2235
250702,2.2765
251131,2.153
251512,2.1035
251887,2.0265
252299,2.06
252629,1.9945
253023,2.26
253367,2.278
253731,2.1845
254150,2.2175
254545,2.173
254954,2.062
255319,2.044
255699,2.1465
256044,2.0685
256401,2.1195
256782,2.096
257130,2.034
257531,2.0555
257931,2.357
258329,2.384
258731,2.38
259102,2.0005
259504,2.2405
259877,1.993
260246,1.906
260665,2.2885
260995,1.997
261376,2.3275
261795,2.144
262128,1.9645
262501,2.035
262882,2.1155
263203,2.107
263556,2.288
263976,1.918
264319,2.0055
264678,2.4535
265053,2.191
265406,2.162
265760,2.2065
266133,2.1445
266529,2.37
266948,2.2015
267386,2.306
267774,1.98
268077,2.145
268453,2.146
