timestep,reward
137306,4.458
137594,5.192
137869,2.848
138165,5.528
138470,6.999
138814,5.16
139089,4.217
139396,8.854
139712,5.233
140009,6.691
140330,2.619
140615,5.556
140942,2.293
141291,5.289
141601,2.08
141847,6.151
142178,2.764
142446,5.226
142784,6.471
143096,1.514
143382,3.729
143663,6.818
143980,7.417
144289,4.007
144572,6.756
144867,6.678
145186,1.37
145498,5.595
145815,4.562
146098,7.762
146370,5.514
146731,2.625
147054,3.824
147323,3.566
147630,1.389
147915,1.838
148210,10.415
148498,6.991
148751,5.201
149025,3.054
149319,5.79
149571,6.797
149887,4.371
150176,6.607
150458,7.825
150766,6.373
151075,5.58
151356,5.098
151659,8.0
151942,5.581
152269,7.925
152555,5.456
152880,3.279
153137,7.866
153455,5.49
153797,4.211
154097,3.957
154386,7.855
154757,6.759
155092,6.848
155434,4.968
155776,3.088
156083,7.281
156399,5.193
156717,6.454
157038,5.714
157348,6.675
157626,3.336
157926,5.725
158202,5.156
158557,6.826
158866,1.771
159177,6.817
159476,5.598
159818,0.981
160134,5.575
160392,4.768
160686,6.22
160989,2.239
161278,8.75
161583,6.149
161888,4.286
162177,5.99
162464,2.833
162759,3.482
163052,5.751
163333,3.299
163626,7.767
163937,4.027
164237,5.582
164542,8.666
164840,7.37
165116,7.518
165412,7.138
165728,6.576
166009,5.198
166322,7.27
166631,8.792
166924,0.607
167265,3.628
167567,3.921
167872,4.518
168181,3.79
168461,4.162
168734,5.336
168988,7.196
169292,6.266
169568,4.565
169875,6.342
170173,3.963
170434,2.682
170713,4.439
171011,5.213
171296,2.468
171592,4.022
171862,4.768
172160,3.291
172432,5.688
172692,5.348
172971,3.584
173291,5.245
173595,7.414
173929,4.153
174219,2.146
174539,5.126
174814,3.168
175075,5.067
175317,6.75
175596,5.63
175878,3.863
176181,6.689
176437,6.499
176721,3.637
177035,4.213
177312,4.297
177615,1.754
177901,4.651
178183,4.779
178468,5.715
178764,4.567
179035,4.734
