timestep,reward
1860260,-0.046
1865241,0.01
1870111,-0.016
1875028,0.008
1879489,-0.046
1883882,-0.022
1888703,-0.034
1893771,0.002
1898319,-0.014
1903309,0.004
1907598,-0.022
1911994,-0.054
1916534,-0.026
1921369,0.0
1925813,-0.028
1931057,-0.048
1935372,-0.014
1940107,0.03
1945366,-0.038
1950281,-0.026
1954547,-0.022
1959451,-0.064
1964185,-0.052
1969051,0.022
1973529,-0.008
1978181,-0.038
1982853,0.002
1987490,0.004
1992320,-0.01
1997513,-0.028
2002199,-0.042
2006719,-0.026
2011536,-0.026
2016406,-0.03
2021114,0.014
2025022,-0.036
2030001,0.024
2034782,-0.002
2039770,-0.032
2044474,-0.014
2049622,-0.022
2054225,-0.046
2058944,0.016
2063523,-0.014
2067781,0.022
2072323,0.026
2077228,0.014
2082351,-0.062
2086718,-0.002
2090983,0.018
2095621,-0.008
2099915,0.014
2104315,-0.014
2109145,0.022
2114047,-0.032
2119020,-0.066
2123836,0.026
2128743,-0.008
2133122,-0.052
2137784,-0.036
2142831,-0.056
2148175,-0.014
2152430,-0.016
2157160,0.004
2162212,-0.072
2166752,-0.016
2171854,-0.048
2176752,-0.06
2181319,-0.014
2185563,-0.042
2191370,-0.036
2195740,-0.024
2200078,-0.03
2205055,-0.006
2209412,-0.02
2213819,-0.082
2218823,0.004
2223064,0.006
2227806,0.08
2231786,-0.004
2235973,-0.024
2240717,-0.046
2245300,-0.012
2250174,0.006
2254398,-0.038
2259028,0.014
2263553,-0.03
2268143,-0.012
2272584,0.044
2277354,-0.038
2281711,0.044
2287453,-0.014
2291938,0.0
2296047,-0.074
2301013,0.02
2305944,0.016
2310601,-0.024
2314625,-0.006
2318811,0.022
2323324,-0.004
2329041,0.012
2334371,-0.03
2339224,-0.008
2343744,-0.016
2348339,-0.024
2352363,-0.03
2357233,0.054
2361836,-0.024
2366096,-0.01
2370578,0.024
2375236,-0.05
2379512,-0.006
2384163,-0.028
2389057,-0.002
2393361,0.008
2398243,-0.024
2402491,0.0
2407362,-0.004
2412128,-0.034
2417205,-0.08
2422284,-0.056
2427217,-0.018
2432037,0.012
2436978,-0.018
2441352,-0.024
2445879,-0.046
2450878,0.0
2454935,0.016
2458916,-0.022
2463526,-0.016
2468286,0.012
2472031,-0.022
2476814,-0.028
2481307,0.01
2486278,-0.016
2491170,-0.024
2495927,-0.058
2500255,0.028
2505056,-0.004
2509681,0.004
2514222,-0.018
2519109,0.012
2523910,0.004
2528457,0.024
2532990,-0.012
2538385,-0.03
2542994,-0.014
2547823,-0.018
2552633,-0.064
2556974,0.05
2561361,-0.014
2566802,-0.02
2571358,-0.024
2576234,0.05
2580717,-0.056
2585449,0.016
2590447,-0.024
2595314,-0.002
2600008,-0.036
2604037,0.014
2608429,-0.002
2612919,0.03
2617441,-0.034
2622607,-0.014
2627819,-0.034
2631898,-0.04
2636363,0.028
2640916,-0.014
2645413,-0.062
2650143,0.018
2654615,-0.058
2659042,-0.022
2663879,-0.006
2667856,0.002
2672239,-0.032
2676770,-0.024
2681695,-0.062
2686368,-0.042
2690699,-0.036
2695875,-0.092
2701024,0.03
2705651,0.012
2709828,-0.002
2714645,0.016
2719842,-0.058
2723678,-0.048
2727960,0.022
2732332,-0.026
2736779,0.07
2742061,0.002
2747097,0.0
2751899,-0.038
2756583,-0.024
2760817,0.006
2765386,-0.006
2770279,0.052
2774773,-0.002
2779549,-0.032
2783912,-0.016
2788815,-0.006
2793115,-0.026
2797710,-0.058
2802040,-0.004
2807049,0.012
2811594,-0.042
2816038,-0.018
2820615,-0.07
2825181,0.004
2829736,0.008
2833724,-0.024
2838337,0.016
2842784,-0.016
2847052,0.0
2851910,0.002
2857095,0.002
2862131,-0.014
2866659,-0.046
2871580,-0.012
2876276,-0.05
2881168,-0.066
2885618,-0.008
2890598,0.016
2895317,-0.038
2900268,-0.006
2904938,-0.044
2908984,-0.016
2913880,-0.064
