timestep,reward
54264,-0.0765
54429,-0.0715
54587,-0.075
54737,-0.0715
54903,-0.0861
55054,-0.0622
55210,-0.0656
55371,-0.0726
55522,-0.0732
55672,-0.0617
55814,-0.085
55968,-0.0568
56119,-0.0657
56273,-0.0642
56419,-0.068
56564,-0.065
56720,-0.0584
56866,-0.0837
57027,-0.0764
57179,-0.0651
57329,-0.0595
57482,-0.0894
57646,-0.0657
57802,-0.0531
57956,-0.078
58117,-0.0676
58268,-0.0601
58425,-0.0687
58573,-0.0691
58726,-0.0596
58875,-0.0603
59024,-0.0718
59194,-0.058
59350,-0.0743
59505,-0.0624
59665,-0.0685
59826,-0.0697
59984,-0.063
60139,-0.0703
60296,-0.0743
60448,-0.0785
60605,-0.0603
60759,-0.0758
60915,-0.0785
61068,-0.0658
61228,-0.077
61374,-0.0735
61519,-0.0644
61676,-0.0605
61814,-0.0612
61974,-0.0795
62128,-0.0477
62293,-0.071
62445,-0.08
62604,-0.0581
62757,-0.0589
62913,-0.0913
63069,-0.0666
63227,-0.0622
63383,-0.0749
63541,-0.0779
63695,-0.0644
63842,-0.0713
64002,-0.0838
64153,-0.0795
64308,-0.0733
64478,-0.0811
64626,-0.0734
64782,-0.0657
64940,-0.0626
65091,-0.0648
65249,-0.0617
65406,-0.0776
65551,-0.0736
65710,-0.0687
65859,-0.0731
66017,-0.0655
66167,-0.0934
66310,-0.0689
66471,-0.0707
66641,-0.072
66795,-0.0679
66949,-0.0808
67113,-0.0771
67269,-0.0715
67427,-0.0747
67577,-0.0506
67738,-0.0624
67894,-0.0512
68051,-0.0698
68206,-0.0782
68358,-0.0686
68499,-0.0862
68646,-0.0844
68797,-0.0652
68943,-0.0656
69095,-0.075
69249,-0.0752
69410,-0.0532
69555,-0.0697
69704,-0.055
69854,-0.0585
70006,-0.0707
70159,-0.0636
70315,-0.0641
70459,-0.0684
70605,-0.0621
70757,-0.0629
70912,-0.0605
71075,-0.0495
71225,-0.059
71376,-0.0663
71527,-0.0644
71674,-0.0515
71818,-0.0766
71967,-0.0758
72124,-0.0627
72285,-0.072
72438,-0.0747
72587,-0.0592
72732,-0.0541
72877,-0.0713
73037,-0.071
73195,-0.0547
73347,-0.0792
73498,-0.0796
73652,-0.0576
73806,-0.0651
73956,-0.0652
74108,-0.0634
74256,-0.0693
74412,-0.0607
74559,-0.0827
74716,-0.0695
74868,-0.0754
75017,-0.0537
75177,-0.0618
75313,-0.0777
75455,-0.0689
75609,-0.0624
75756,-0.0479
75903,-0.0641
76063,-0.0481
76222,-0.0582
76374,-0.0795
76518,-0.058
76678,-0.0423
76823,-0.0493
76977,-0.0516
77134,-0.0738
77280,-0.0647
77432,-0.0718
77586,-0.0452
77743,-0.0615
77898,-0.0571
78049,-0.058
78200,-0.0706
78349,-0.0668
78500,-0.0723
78646,-0.0701
78799,-0.0747
78959,-0.0842
79101,-0.0544
79249,-0.0519
79402,-0.0529
79561,-0.0834
79713,-0.0746
79863,-0.0575
80019,-0.0509
80164,-0.0724
80321,-0.0485
80476,-0.0723
80619,-0.0654
80765,-0.0686
80912,-0.0607
81067,-0.0687
81220,-0.0662
